first_seen_at,title,channel,url,published_at,first_seen_views,first_seen_velocity,peak_velocity,peak_views,last_seen_at,last_views
2026-07-01T20:03:02Z,[Path of Exile 2] Le migliori mod per diventare ricchi con i tablet,ReVoGaming,https://www.youtube.com/watch?v=n7-PHuSMPNA,2026-07-01T09:02:32Z,243,22.07,22.07,363,2026-07-02T19:40:29Z,363
2026-07-01T20:03:02Z,SUPLICIO 8 EM 1 DIA - BUILD WARLOCK MINIONS APROVADA - DIABLO 4 TEMPORADA 14,3p Venom,https://www.youtube.com/watch?v=Is7ysy7y8lA,2026-07-01T17:00:11Z,427,71.17,114.18,1988,2026-07-02T19:40:29Z,1988
2026-07-01T20:03:02Z,Der 1-BUTTON Reap Blood Mage – Einfachster Endgame Build ever! (PoE2 0.5 Build Guide),KrushR,https://www.youtube.com/watch?v=igH5bIwYj58,2026-06-30T14:19:35Z,3422,115.12,115.12,4104,2026-07-02T14:14:06Z,4104
2026-07-01T20:03:02Z,Infernal Cry Gemling Is My New Favorite Mapper | PoE 2 0.5 Build Guide,ExFluent,https://www.youtube.com/watch?v=QO5Un_eRyQM,2026-06-30T22:00:28Z,3507,159.1,232.26,10163,2026-07-02T19:40:29Z,10163
2026-07-01T20:03:02Z,"""5-ways"", Ultimatums & Ritual Farming - ""ROTA"" EVENT",POEGuy,https://www.youtube.com/watch?v=flgJxolNLJE,2026-07-01T15:08:59Z,1007,167.83,167.83,1090,2026-07-02T19:40:29Z,1090
2026-07-01T20:03:02Z,What is Happening in Path of Exile 2 After 1 MONTH? [PoE2 0.5],Talkative Tri,https://www.youtube.com/watch?v=URtFuxFgPio,2026-07-01T16:44:41Z,4205,700.83,1091.52,19336,2026-07-02T19:40:29Z,19336
2026-07-02T04:01:47Z,2-20 💎DIVINOS💎 POR MAPA CON ESTE FARMEO DE ABISMOS + DELIRIO 200% EN PATH OF EXILE 2 | TEMPORADA 0.5,FidoJuegos,https://www.youtube.com/watch?v=RN4QjdVm4v0,2026-07-01T00:00:17Z,559,19.95,19.95,621,2026-07-02T19:40:29Z,621
2026-07-02T04:01:47Z,Path of Exile 2 (0.5.4): One Life Infernalist - Frost Darts cast on Frost Darts,pattoman,https://www.youtube.com/watch?v=iMEAu8CJ_VY,2026-07-01T08:15:50Z,466,23.58,23.58,608,2026-07-02T19:40:29Z,608
2026-07-02T04:01:47Z,"Craft ta veste endgame parfaite ! 3k6 evasion, full T1 mods à la 0.5 Return of the Ancients #poe2",Soawake,https://www.youtube.com/watch?v=VbxtiWOZHBo,2026-07-01T08:30:31Z,1080,55.32,55.32,1360,2026-07-02T19:40:29Z,1360
2026-07-02T04:01:47Z,Path of Exile 2 Build Showcase: Frogmancer by Yuzo TV,Path of Exile,https://www.youtube.com/watch?v=1Ms1GNzQfWo,2026-07-01T21:43:49Z,83533,13259.93,13259.93,192641,2026-07-02T19:40:29Z,192641
2026-07-02T14:14:06Z,Path of Exile 2 - Ep 49 - Nuevo PJ - Acto 1 [Ancients-0.5],Nicro4FUN,https://www.youtube.com/watch?v=sM6-Q5oZY6c,2026-07-02T10:00:31Z,131,21.83,22.35,216,2026-07-02T19:40:29Z,216
2026-07-02T14:14:06Z,"NEW 13,500,000+ DPS 27x COMPANION Spirit Walker ZOO Build! | 'Unkillable' With 6x TIER 1 Auras!",Mattjestic Life,https://www.youtube.com/watch?v=ekP9pLGQ4O0,2026-06-30T14:00:39Z,7168,148.64,148.64,7168,2026-07-02T14:14:06Z,7168
2026-07-02T14:14:06Z,1-SHOT Juiced Expeditions - Glacial Bolt Gemling - Updates & Crossbow Crafting Guide - POE 2 0.5,josiahyeet,https://www.youtube.com/watch?v=7T64H0DX_E8,2026-07-01T08:48:00Z,7066,240.05,240.05,7768,2026-07-02T19:40:29Z,7768
2026-07-02T14:14:06Z,Who is The Arbiter Of Ash? | Path Of Exile 2 Lore,Lore Of Exile,https://www.youtube.com/watch?v=Mnbop-Qx2v8,2026-07-02T10:13:20Z,3291,548.5,789.73,7465,2026-07-02T19:40:29Z,7465
2026-07-02T19:40:29Z,Path of Exile 2 | Updated BEST Twister Spirit Walker Build! (PoE 2 0.5 Huntress Guide),SiahZ,https://www.youtube.com/watch?v=z0xDZQ3GsvA,2026-07-01T18:03:30Z,14529,567.17,567.17,14529,2026-07-02T19:40:29Z,14529
